subject,is_mw,n,skip_rate,importance,zipf,length,surprisal
33,0,9095,0.7593183067619571,-0.11582304011434896,0.2156854884961099,-0.24590034129259364,-0.16720931622560375
33,1,721,0.5159500693481276,-0.04752441692084908,0.3670163601072187,-0.3267245894568198,-0.1864420062695925
34,0,10101,0.2653202653202653,-0.001001393785686866,0.35677595045926536,-0.3816933892724761,-0.2363044415360782
34,1,538,0.17286245353159851,-0.0769602512987797,0.4209979461157425,-0.572816237767307,-0.33817594834543985
35,0,10822,0.32341526520051744,0.041166660163109325,0.38484906543879505,-0.4181795762281968,-0.3505787434747203
36,0,10238,0.44950185583121705,-0.004871481803973898,0.3361964773547095,-0.34473999023475155,-0.2262939866472995
36,1,314,0.34076433121019106,0.0025283308501511392,0.31631224885999365,-0.29617589958914625,-0.20707070707070707
37,0,10446,0.43231859084817154,-0.028989188898531304,0.287886913608276,-0.32645889376651427,-0.20080333986166043
37,1,290,0.31724137931034485,0.04968159859464216,0.40958498023715406,-0.33333333333333337,-0.21286764705882355
38,0,8754,0.4872058487548549,0.033799802931067324,0.20871992159027797,-0.21808296795318605,-0.1281158835791566
38,1,1013,0.26456071076011844,-0.018441350295502312,0.31326254632875883,-0.34129019332865873,-0.23575718045028227
39,0,9633,0.6029274369355341,-0.02023515007472232,0.18603013197932983,-0.23991866076090673,-0.13489284126423307
39,1,625,0.2368,-0.03433622301546835,0.43969913309535946,-0.5573403592271517,-0.353858418367347
40,0,10777,0.3561287927994804,-0.008314846093115058,0.4307410569031509,-0.48887029463407805,-0.3394624547305811
41,0,10252,0.47171283651970347,-0.026441811353304145,0.2558198802555427,-0.2935453097949524,-0.18965667096364502
42,0,9869,0.4141250379977708,-0.059945832247543684,0.2972704452966384,-0.32038805411561766,-0.20760415614956296
42,1,409,0.2567237163814181,-0.05673558897243103,0.44902882205513794,-0.5362781954887218,-0.3043723952814862
43,0,10371,0.4931057757207598,-0.0135073268418614,0.2952656602750052,-0.37446594290838464,-0.24096033333566613
43,1,301,0.5415282392026578,-0.02769627456210544,0.2753623188405796,-0.2999466524406509,-0.21899920255183414
