subject,bin,n,skiprate,zipf,length,surprisal
13,last third,174,0.21839080459770116,0.6428018575851393,-0.6273219814241486,-0.5795036764705883
14,first third,378,0.21693121693121692,0.4444627554383651,-0.4899884640738299,-0.41539332201471424
14,middle third,353,0.24079320113314448,0.3383669885864793,-0.495478489903424,-0.30987189866184106
14,last third,357,0.24929971988795518,0.41053161160489693,-0.5197467717591816,-0.3336900303192438
15,first third,108,0.17592592592592593,,,
15,middle third,102,0.17647058823529413,,,
15,last third,110,0.22727272727272727,0.36564705882352944,-0.45176470588235296,-0.2435443037974684
16,first third,380,0.17105263157894737,0.5775335775335775,-0.5864713064713065,-0.44072164948453607
16,middle third,369,0.21138211382113822,0.5386377654418892,-0.5344083179134725,-0.3046450060168472
16,last third,372,0.22580645161290322,0.45643187830687837,-0.5011574074074074,-0.34730107236189967
17,first third,240,0.2916666666666667,0.633109243697479,-0.6836134453781513,-0.3920593112867037
17,middle third,226,0.3185840707964602,0.6163419913419914,-0.6654040404040404,-0.46440019426906265
17,last third,207,0.2560386473429952,0.7099975496201911,-0.706199460916442,-0.4948648648648649
18,first third,135,0.17037037037037037,0.7018633540372672,-0.6086956521739131,-0.5404040404040404
18,middle third,85,0.17647058823529413,,,
18,last third,65,0.2,,,
19,first third,60,0.3333333333333333,0.58375,-0.6287499999999999,
19,middle third,61,0.2786885245901639,,,
19,last third,60,0.35,0.485958485958486,-0.5641025641025641,-0.2894736842105263
21,first third,73,0.3150684931506849,0.6165217391304347,-0.6069565217391304,-0.6474953617810761
21,middle third,66,0.3333333333333333,0.44628099173553726,-0.4452479338842975,-0.18974358974358974
22,first third,89,0.20224719101123595,,,
22,middle third,79,0.17721518987341772,,,
22,last third,73,0.2054794520547945,,,
23,first third,253,0.16600790513833993,0.309185285488603,-0.4713382983525164,-0.3153846153846154
23,middle third,226,0.22123893805309736,0.37749999999999995,-0.49909090909090914,-0.33252032520325203
23,last third,212,0.2028301886792453,0.528966561166919,-0.5738268886748314,-0.5231788079470199
24,first third,176,0.18181818181818182,0.7267795138888888,-0.6812065972222222,-0.5238095238095238
24,middle third,168,0.2261904761904762,0.55,-0.6892712550607287,-0.5030444964871195
24,last third,167,0.18562874251497005,0.5398481973434535,-0.6297438330170778,-0.47343749999999996
